datetime,supplier_id,balancing_group_id,da_net_load_forecast_mwh,da_net_gen_forecast_mwh,da_price_eur_per_mwh,da_purchase_commitment_eur,da_sale_commitment_eur,id_net_load_forecast_mwh,id_net_gen_forecast_mwh,id_net_load_adjustment_mwh,id_net_gen_adjustment_mwh,id_price_eur_per_mwh,id_purchase_adjustment_eur,id_sale_adjustment_eur,closing_net_load_forecast_mwh,closing_net_gen_forecast_mwh,battery_charge_id_mw,battery_discharge_id_mw,battery_soc_id,closing_purchase_commitment_eur,closing_sale_commitment_eur,actual_load_mwh,actual_gen_mwh,balancing_group_actual_mwh,balancing_group_forecast_mwh,imbalance_mwh,imbalance_price_eur_per_mwh,imbalance_penalty,imbalance_reward,retail_price_eur_per_mwh,feedin_price_eur_per_mwh,sales_revenue_eur,purchase_costs_eur,revenue_energy_market_sales_eur,revenue_balancing_rewards_eur,revenue_retail_sales_eur,total_revenue_eur,cost_energy_market_purchases_eur,cost_balancing_penalties_eur,cost_retail_purchases_eur,total_costs_eur,profit_loss_eur
01-2016,SUP_A,BG_SUP_A_001,270.8618726189433,0.03706126706419514,29.587103494623655,8530.246311462246,0.9299265804772394,246.10035998379732,1.4277722907821713,-24.761512635146016,1.390711023717976,29.578424059139785,-1075.7268851510762,35.377950813378206,246.10035998379732,1.4277722907821713,32.06728197756228,31.874320284547135,858.0990556320176,7454.519426311169,36.30787739385545,264.412004710398,19.809838648120866,244.79512775529227,244.67258769301515,0.1225400622771267,43.178360215053765,62.9410686848178,67.18102415494468,201.0,82.4,0.0,0.0,36.30787739385545,67.18102415494468,0.0,103.48890154880013,7454.519426311169,62.9410686848178,0.0,7517.460494995987,-7413.971593447187
02-2016,SUP_A,BG_SUP_A_001,233.25081871487714,0.29753385519778663,22.44003591954023,5615.807564201572,5.612605599434218,212.03861406396894,2.016174439580206,-21.21220465090818,1.7186405843824193,22.41449353448276,-776.1048874787625,36.719543614647165,212.03861406396894,2.016174439580206,36.04893965569021,35.03525903130147,903.5744556036609,4839.702676722809,42.33214921408138,240.60467274719818,31.68917214032066,209.92918123126626,210.02243962438874,-0.09325839312248566,26.566688218390805,52.88046613597339,48.66929305008226,201.0,82.4,0.0,0.0,42.33214921408138,48.66929305008226,0.0,91.00144226416364,4839.702676722809,52.88046613597339,0.0,4892.583142858783,-4801.581700594619
03-2016,SUP_A,BG_SUP_A_001,166.64768396230167,10.32171957971412,24.100846774193545,4341.4711240704955,217.15127189221099,154.20555850191658,16.252165201290616,-12.44212546038507,5.930445621576497,24.054381720430108,-512.149169703475,155.91554358113066,154.20555850191658,16.252165201290616,39.47423004122272,38.29470774059674,952.737655172991,3829.3219543670207,373.06681547334165,196.5793506933981,59.81753061741246,137.94134237661163,137.95339330062598,-0.012050924014343241,18.326911962365593,41.1689211302235,43.924168308336974,201.0,82.4,0.0,0.0,373.06681547334165,43.924168308336974,0.0,416.9909837816786,3829.3219543670207,41.1689211302235,0.0,3870.4908754972444,-3453.499891715566
04-2016,SUP_A,BG_SUP_A_001,80.0230580631269,19.43314810112306,25.27276388888889,2138.6136710185287,482.91105976948813,80.62630287424209,31.18576542856671,0.6032448111151772,11.752617327443652,25.27865625,-174.26483237897833,323.8164608173765,80.62630287424209,31.18576542856671,37.49512201610756,36.43337857043219,918.8434012929645,1964.3488386395506,806.7275205868646,123.43045355569843,74.97001403799615,49.52218296337765,49.44053744567537,0.0816455177022825,16.201211805555555,29.339878081083118,28.678272120767417,201.0,82.4,0.0,0.0,806.7275205868646,28.678272120767417,0.0,835.4057927076319,1964.3488386395506,29.339878081083118,0.0,1993.6887167206337,-1158.2829240130018
05-2016,SUP_A,BG_SUP_A_001,65.8576170649749,37.05723570175161,23.011223118279567,1671.7372081782541,822.5880825831183,68.68618667718991,49.882958601182175,2.828569612215014,12.825722899430572,22.983914650537635,-122.27761694302244,360.1349094607471,68.68618667718991,49.882958601182175,38.89711475095343,37.80142767494569,968.2796396076482,1549.4595912352318,1182.7229920438654,110.8875555684985,93.21539263677671,18.76785000772953,18.803228076007734,-0.035378068278205194,17.224956317204303,37.304299380984155,35.91724012459396,201.0,82.4,0.0,0.0,1182.7229920438654,35.91724012459396,0.0,1218.6402321684593,1549.4595912352318,37.304299380984155,0.0,1586.7638906162158,-368.1236584477565
06-2016,SUP_A,BG_SUP_A_001,58.70709782764404,24.0444477767498,27.630493055555558,1683.7050501964618,670.4785833568698,63.130837637422744,37.00824636883337,4.423739809778705,12.963798592083572,27.656510416666666,-36.94694919194916,397.53642449645616,63.130837637422744,37.00824636883337,35.682332942657794,34.880473674068426,889.2642122081854,1646.7581010045128,1068.0150078533259,92.92299725259879,67.56814694910577,26.1567095720824,26.12259126858937,0.03411830349302616,23.95328125,26.273170003359446,30.515848004771257,201.0,82.4,0.0,0.0,1068.0150078533259,30.515848004771257,0.0,1098.530855858097,1646.7581010045128,26.273170003359446,0.0,1673.0312710078722,-574.5004151497751
07-2016,SUP_A,BG_SUP_A_001,47.78851002177425,35.47155333865326,27.13738239247312,1395.92104938934,893.4512711017824,53.866209357695155,49.26165119744389,6.077699335920902,13.790097858790627,27.18641801075269,5.345413254004622,441.6314496999487,53.866209357695155,49.26165119744389,36.68249252694917,35.871977366697905,910.718540865925,1401.2664626433445,1335.082720801731,85.64852643079887,81.91630231687901,4.542739274171119,4.604558160251264,-0.06181888608014464,30.32278561827957,35.26743717537991,30.319612472634347,201.0,82.4,0.0,0.0,1335.082720801731,30.319612472634347,0.0,1365.4023332743654,1401.2664626433445,35.26743717537991,0.0,1436.5338998187244,-71.13156654435898
08-2016,SUP_A,BG_SUP_A_001,43.57559156318895,35.791532575479934,27.258370295698924,1276.2939110732318,924.7881190626623,51.147478928053665,51.05079903050712,7.57188736486472,15.259266455027186,27.340984543010755,42.72558981259488,487.93958532254925,51.147478928053665,51.05079903050712,37.36733502618272,36.47797712863618,924.6484252053281,1319.0195008858268,1412.7277043852116,85.18553934459891,85.943783012291,0.13111422985446292,0.09667989754654599,0.03443433230791699,33.75024193548387,38.66456374534367,39.97195508275609,201.0,82.4,0.0,0.0,1412.7277043852116,39.97195508275609,0.0,1452.6996594679676,1319.0195008858268,38.66456374534367,0.0,1357.6840646311705,95.01559483679716
09-2016,SUP_A,BG_SUP_A_001,66.34039420877929,16.274189835770894,30.14087152777778,2124.0578191224668,477.4788890874777,67.36209288732182,27.320192081137392,1.0216986785425308,11.0460022453665,30.13815972222222,-174.4900414579655,350.40105876866784,67.36209288732182,27.320192081137392,31.31570326962813,31.016066463443707,797.0568944114599,1949.5677776645014,827.8799478561455,102.76065601589872,62.997710626991605,40.062582195091544,40.04190080618443,0.020681388907117765,40.85169097222222,38.62072967891747,37.941462983845966,201.0,82.4,0.0,0.0,827.8799478561455,37.941462983845966,0.0,865.8214108399915,1949.5677776645014,38.62072967891747,0.0,1988.188507343419,-1122.3670965034275
10-2016,SUP_A,BG_SUP_A_001,111.33771050111476,6.502010870270426,36.88243615591398,4391.443698226159,243.615148291341,105.07506902297244,14.244758725530687,-6.2626414781423145,7.742747855260262,36.80331989247311,-551.4678405200841,278.28654249631444,105.07506902297244,14.244758725530687,25.16001258551302,25.727017288071266,708.6221782743038,3839.9758577060743,521.9016907876554,133.1310728333986,41.70281636915567,90.8612517616847,90.83031029744176,0.030941464242944916,39.806881720430106,41.99634612319828,43.33930793039683,201.0,82.4,0.0,0.0,521.9016907876554,43.33930793039683,0.0,565.2409987180522,3839.9758577060743,41.99634612319828,0.0,3881.9722038292725,-3316.7312051112203
