Participant,Load (kWh),PV (kWh),Share (%),Baseline Cost (€),With Battery (€),Savings (€),Savings (%)
P1,135.88901607013972,71.39675861358512,19.136424140170792,28.806951216250063,24.58999916519573,4.2169520510543315,14.63866140987367
P2,174.23826360752042,85.19700112869131,24.536915567328734,36.93656268108704,31.52954433375695,5.407018347330091,14.638661409873677
P3,102.36636472508889,70.77880044047544,14.415632916611967,21.70052414904843,18.52385789470136,3.1766662543470687,14.638661409873668
P4,127.09146881236771,58.564880443025515,17.897519035206123,26.941969615776312,22.998025906571772,3.9439437092045395,14.638661409873682
P5,170.52151420272077,86.94175925841844,24.013508340682378,36.148653386550485,30.856974413064528,5.291678973485958,14.63866140987367
